node_id,file,line,failure_type,message_excerpt
tests.integration.icoder.a2a.test_endpoints::test_well_known_agent_json_lists_cards,,,,"AssertionError: assert 'MedCodER 编码审核智能体' == 'MedCodER Coding Review Agent'
  
  - MedCodER Coding Review Agent
  + MedCodER 编码审核智能体"
tests.integration.icoder.a2a.test_endpoints::test_llms_txt_renders_markdown,,,,AssertionError: assert 'MedCodER Coding Review Agent' in '# iCoDer v1 Agent Runtime\n\niCoDer is an AI platform for hospital revenue compliance (China).\n\n## Available Agents...Skills**: check_docume
tests.integration.icoder.a2a.test_endpoints::test_agents_list_returns_simplified_cards,,,,"AssertionError: assert 'MedCodER 编码审核智能体' == 'MedCodER Coding Review Agent'
  
  - MedCodER Coding Review Agent
  + MedCodER 编码审核智能体"
tests.integration.icoder.a2a.test_endpoints::test_agent_card_returns_full_card,,,,"AssertionError: assert 'MedCodER 编码审核智能体' == 'MedCodER Coding Review Agent'
  
  - MedCodER Coding Review Agent
  + MedCodER 编码审核智能体"
tests.integration.icoder.test_mcp_agent_tools_lifecycle::test_dispatch_tool_validate_codes_with_scopes_succeeds,,,,"AssertionError: assert ['R001', 'R00..., 'R006', ...] == ['R001']
  
  Left contains 10 more items, first extra item: 'R002'
  Use -v to get more diff"
tests.integration.icoder.test_phase3b1_agent_hub::test_metadata_only_packs_visible_but_not_runnable,,,,"AssertionError: metadata-only pack icoder/cdi-review@1.0.0 must appear in Hub (visible with Coming Soon badge)
assert 'icoder/cdi-review@1.0.0' in {'icoder/claim-check@1.0.0': {'a2a_endpoint': None, '"
tests.integration.icoder.test_phase3b1_agent_hub::test_phase3d1_three_simple_agents_visible_and_runnable,,,,"AssertionError: runnable agent icoder/code-validation-agent@1.0.0 must appear in Hub
assert 'icoder/code-validation-agent@1.0.0' in {'icoder/claim-check@1.0.0': {'a2a_endpoint': None, 'agent_id': 'cla"
tests.integration.icoder.test_phase3b1_agent_hub::test_hub_total_count_matches_visibility_filter,,,,"AssertionError: Hub must list 14 visible packs (9 runnable + 5 metadata-only) after Phase 4-F; got 24. Cards: ['icoder/clinical-documentation-improvement-agent@1.0.0', 'icoder/drg-analyzer@1.0.0', 'ic"
tests.integration.icoder.test_phase3b1_discovery_unification_contract::test_hub_is_pack_mastered_and_no_auth,,,,assert 24 == 11
tests.integration.icoder.test_phase3b1_discovery_unification_contract::test_hub_and_a2a_discovery_are_both_pack_mastered,,,,assert 24 == 11
